Empresas,Ativos,Column3,Column4,Column5
VIA S.A,VIIA3,,,
Cedro,CEDO4F,CEDO3F,CEDO4,CEDO3
Netflix,NFLX34F,NFLX34,,
Nike,NIKE34F,NIKE34,,
McDonald's,MCDC34F,MCDC34,,
Home Depot,HOME34F,HOME34,,
Ford Motors,FDMO34F,FDMO34,,
Comcast,CMCS34F,CMCS34,,
Amazon,AMZO34F,,,
Rodobens,RDNI3F,RDNI3,,
Saraiva Livr,SLED4F,SLED3F,SLED3,
Rossi Resid,RSID3F,RSID3,,
Mundial,MNDL3F,MNDL3,,
Metal Leve,LEVE3F,LEVE3,,
Karsten,CTKA4F,CTKA3F,CTKA4,CTKA3
Iochpe-Maxion,MYPK3F,MYPK3,,
Grendene,GRND3F,GRND3,,
Locamerica,LCAM3F,LCAM3,,
C&A,CEAB3,,,
Veste,VSTE3F,VSTE3,,
Grazziotin,CGRA3F,CGRA4F,CGRA4,CGRA3
Estrela,ESTR4F,ESTR3F,ESTR4,ESTR3
Direcional,DIRR3F,DIRR3,,
Coteminas,CTNM3F,CTNM4F,CTNM4,CTNM3
Anima,ANIM3F,,,
Even,EVEN3F,EVEN3,,
Marisa,AMAR3F,AMAR3,,
Movida,MOVI3F,MOVI3,,
JHSF,JHSF3F,JHSF3,,
Helbor,HBOR3F,HBOR3,,
PDG Realty,PDGR3F,PDGR3,,
Arezzo,ARZZ3F,,,
Ez Tec,EZTC3F,EZTC3,,
Alpargatas,ALPA3F,ALPA4F,,
Localiza,RENT3F,RENT3,,
MRV Engenharia,MRVE3F,MRVE3,,
Magazine Luiza,MGLU3F,MGLU3,,
Lojas Renner,LREN3F,LREN3,,
Cogna,COGN3F,COGN3,,
Whirlpool,WHRL4,,,
Whirpool,WHRL3,,,
Tecnisa,TCSA3,,,
Starbucks,SBUB34,,,
Smiles,SMLS3,,,
Ser Educacional,SEER3,,,
Saraiva Livr,SLED4,,,
Hoteis Othon,HOOT4,,,
Gafisa,GFSA3,GFSA3F,,
YDUQS,YDUQ3,,,
Cyrela Realty,CYRE3,,,
CVC,CVCB3,,,
Grupo SBF,SBFG3F,SBFG3,,
Cambuci,CAMB3F,,,
