Empresas,Ativos,Column3,Column4
Rio Bravo,RBIV11,,
FII GTIS LG,GTLG11,,
PPLA,PPLA11,,
BKR 20YR TRS,BTLT39,,
BKR 1 3 YRTR,BSHY39,,
BKR SHORT TR,BSHV39,,
BKR 3 7 YRTR,BIEI39,,
BKR 7 10 YRT,BIYT39,,
BKR US TREAS,BGOV39,,
INVESTO ALUG,ALUG11,,
INVESTO WRLD,WRLD11,,
Caixa Agências,CXAG11,,
FII ROOFTOPICI,ROOF11,,
FIAGRO JGP CI,JGPX11,,
FII PLUR URBCI,PURB11,,
FII BRIO ME CI,BIME11,,
FII JS A FINCI,JSAF11,,
Tellus Desenvolvimento Logístico,TELD11,,
FII MORE CRICI ER,MORC11,,
FII HUSI CI ES,HUSI11,,
FII CYRELA CI ES,CYCR11,,
EQI RECECI,EQIR11,,
CARTESIA FIICI,CACR11,,
FIAGRO RIZA CI,RZAG11,,
Wilson Sons,PORT3,,
BKR US ENER,BIYE39,,
BKR MS EAFE,BSCZ39,,
BKR MS USA S,BUSA39,,
BKR MS RUSS,BERU39,,
BKR SEMICOND,BSOX39,,
FT NAT GAS,BFCG39,,
FT HCARE ALPH DRN,BFXH39,,
FT TECH ALPH,BFTA39,,
FT CLOUD CPT,BKYY39,,
FT NASD100 TC,BQTC39,,
FT DJ INTERN,BFDN39,,
FT RISI DIVID,BFDA39,,
FT INTL EQ OP,BFPI39,,
FT NASD100 EQ,BQQW39,,
FT EQ OPPORT,BFPX39,,
FT NASD CYBER,BCIR39,,
FT MOR DV LEA,BFDL39,,
FT NYSE BIOT DRN,BFBI39,,
BKR SP100 DRN ED,BOEF39,,
BKR MS WLD,BURT39,,
BKR GL Clean,BICL39,,
BKR GL Fin,BIXG39,,
Coinbase Glob,C2OI34,,
Store Capital,S2TO34,,
ISHARES MILA,MILA,,
ISHARES CSMO,CSMO,,
IT NOW HYDROCI,YDRO11,,
BTG S&P 500 CI,SPXB11,,
BTG SMLL CAPCI,SMAB11,,
West Pharma,W2ST34,,
Squarespace,S2QS34,,
Uipath Inc,P2AT34,,
Godaddy Inc,G2DD34,,
Doordash Inc,D2AS34,,
Camden Prop,C2PT34,,
Sp500growth,BIVW39,,
Sp500 Value,BIVE39,,
Msciglmivolf,BCWV39,,
Avalara Inc,A2VL34,,
Amc Entert H,A2MC34,,
AF Invest,AFHI11,,
BRL Trust DTVM,HSRE11,,
Votorantim Asset Management,VSEC11,,
Agribrasil,GRAO3,,
INVESTO USTK,USTK11,,
AgroGalaxy,AGXY3,,
Smart Fit,SMFT3,,
Boa Safra,SOJA3,,
Zynga Inc,Z2NG34,,
Trade Desk,T2TD34,,
Teladochealt,T2DH34,,
Sun Commun,S2UI34,,
Square Inc,S2QU34,,
Snowflake,S2NW34,,
Shopify Inc,S2HO34,,
Caesars Entt,C2ZR34,,
Unity Softwr,U2ST34,,
Sea Ltd,S2EA34,,
Penn Nationl,P2EN34,,
Medical P Tr,M2PW34,,
Kingsoft Chl,K2CG34,,
Draftkings,D2KN34,,
Cyrusone Inc,C2ON34,,
Churchill Dw,C2HD34,,
Beyond Meat,B2YN34,,
COPEL UNT N2,CPLE11F,CPLE11,
Getnet,GETT11,GETT4,GETT3
Tronox,CRPG6,CRPG5,CRPG3
Energisa MT,ENMT4,ENMT3,
